Date,Account Code,Voucher Type,Voucher ID,Description,Debit,Credit,Balance
05-10-2025,10000001,CR,2,Cr Invoice #2,550.00,0.00,"788,550.00"
05-10-2025,10000001,CR,2,Cr Invoice #2,"4,000.00",0.00,"792,550.00"
05-10-2025,10000001,CR,2,Cr Invoice #2,"2,700.00",0.00,"795,250.00"
05-10-2025,10000001,CR,2,Cr Invoice #2,"5,000.00",0.00,"800,250.00"
05-10-2025,10000001,CR,2,Cr Invoice #2,"2,000.00",0.00,"802,250.00"
05-10-2025,10000001,CR,2,Cr Invoice #2,400.00,0.00,"802,650.00"
05-10-2025,10000001,CR,2,Cr Invoice #2,700.00,0.00,"803,350.00"
05-10-2025,10000001,CR,2,Cr Invoice #2,"1,000.00",0.00,"804,350.00"
05-10-2025,10000001,CR,2,Cr Invoice #2,500.00,0.00,"804,850.00"
05-10-2025,10000001,CR,2,Cr Invoice #2,550.00,0.00,"805,400.00"
05-10-2025,10000001,CR,2,Cr Invoice #2,"3,200.00",0.00,"808,600.00"
05-10-2025,10000001,CR,2,Cr Invoice #2,"1,400.00",0.00,"810,000.00"
05-10-2025,10000001,CR,2,Cr Invoice #2,"3,000.00",0.00,"813,000.00"
05-10-2025,10000001,CR,2,Cr Invoice #2,"1,500.00",0.00,"814,500.00"
05-10-2025,10000001,CR,2,Cr Invoice #2,600.00,0.00,"815,100.00"
05-10-2025,10000001,CR,2,Cr Invoice #2,"8,000.00",0.00,"823,100.00"
05-10-2025,10000001,CR,2,Cr Invoice #2,"3,000.00",0.00,"826,100.00"
05-10-2025,10000001,CR,2,Cr Invoice #2,"4,000.00",0.00,"830,100.00"
05-10-2025,10000001,CR,2,Cr Invoice #2,"5,000.00",0.00,"835,100.00"
05-10-2025,10000001,CR,2,Cr Invoice #2,"1,000.00",0.00,"836,100.00"
05-10-2025,10000001,CR,2,Cr Invoice #2,"1,000.00",0.00,"837,100.00"
05-10-2025,10000001,CR,2,Cr Invoice #2,"1,000.00",0.00,"838,100.00"
05-10-2025,10000001,CR,2,Cr Invoice #2,"2,500.00",0.00,"840,600.00"
05-10-2025,10000001,CR,2,Cr Invoice #2,"2,500.00",0.00,"843,100.00"
05-10-2025,10000001,CR,2,Cr Invoice #2,400.00,0.00,"843,500.00"
05-10-2025,10000001,CR,2,Cr Invoice #2,100.00,0.00,"843,600.00"
05-10-2025,10000001,CR,2,Cr Invoice #2,"5,000.00",0.00,"848,600.00"
05-10-2025,10000001,CR,2,Cr Invoice #2,"5,000.00",0.00,"853,600.00"
05-10-2025,10000001,CR,2,Cr Invoice #2,200.00,0.00,"853,800.00"
05-10-2025,10000001,CR,2,Cr Invoice #2,"1,000.00",0.00,"854,800.00"
07-09-2025,10000001,ADVANCE,2301,Advance Invoice #2301,"17,000.00",0.00,"102,100.00"
07-09-2025,10000001,ADVANCE,2302,Advance Invoice #2302,"5,000.00",0.00,"107,100.00"
07-10-2025,10000001,JV,5,JV Posting: <PyQt5.QtWidgets.QLineEdit object at 0x00000143EEF9CF80>,0.00,"5,000.00","849,800.00"
09-09-2025,10000001,ADVANCE,2303,Advance Invoice #2303,"5,000.00",0.00,"112,100.00"
09-09-2025,10000001,ADVANCE,2304,Advance Invoice #2304,"8,000.00",0.00,"120,100.00"
10-09-2025,10000001,ADVANCE,2305,Advance Invoice #2305,"10,000.00",0.00,"130,100.00"
10-09-2025,10000001,ADVANCE,2306,Advance Invoice #2306,"3,000.00",0.00,"133,100.00"
10-09-2025,10000001,ADVANCE,2307,Advance Invoice #2307,"5,000.00",0.00,"138,100.00"
11-09-2025,10000001,ADVANCE,2308,Advance Invoice #2308,"5,000.00",0.00,"143,100.00"
11-09-2025,10000001,ADVANCE,2309,Advance Invoice #2309,"6,000.00",0.00,"149,100.00"
13-09-2025,10000001,ADVANCE,2310,Advance Invoice #2310,"2,000.00",0.00,"151,100.00"
13-09-2025,10000001,ADVANCE,2311,Advance Invoice #2311,"20,000.00",0.00,"171,100.00"
13-09-2025,10000001,ADVANCE,2312,Advance Invoice #2312,"4,000.00",0.00,"175,100.00"
13-09-2025,10000001,ADVANCE,2313,Advance Invoice #2313,"3,000.00",0.00,"178,100.00"
13-09-2025,10000001,ADVANCE,2314,Advance Invoice #2314,"5,000.00",0.00,"183,100.00"
14-09-2025,10000001,ADVANCE,2315,Advance Invoice #2315,"1,000.00",0.00,"184,100.00"
14-09-2025,10000001,ADVANCE,2316,Advance Invoice #2316,"3,000.00",0.00,"187,100.00"
14-09-2025,10000001,ADVANCE,2317,Advance Invoice #2317,"4,000.00",0.00,"191,100.00"
15-09-2025,10000001,ADVANCE,2319,Advance Invoice #2319,"4,500.00",0.00,"195,600.00"
15-09-2025,10000001,ADVANCE,2320,Advance Invoice #2320,"4,000.00",0.00,"199,600.00"
15-09-2025,10000001,ADVANCE,2321,Advance Invoice #2321,"5,000.00",0.00,"204,600.00"
16-09-2025,10000001,ADVANCE,2322,Advance Invoice #2322,"5,000.00",0.00,"209,600.00"
16-09-2025,10000001,ADVANCE,2323,Advance Invoice #2323,"10,000.00",0.00,"219,600.00"
16-09-2025,10000001,ADVANCE,2324,Advance Invoice #2324,"5,000.00",0.00,"224,600.00"
17-09-2025,10000001,ADVANCE,2325,Advance Invoice #2325,"17,000.00",0.00,"241,600.00"
18-09-2025,10000001,ADVANCE,2326,Advance Invoice #2326,"4,000.00",0.00,"245,600.00"
20-09-2025,10000001,ADVANCE,2327,Advance Invoice #2327,"10,000.00",0.00,"255,600.00"
20-09-2025,10000001,ADVANCE,2328,Advance Invoice #2328,"5,000.00",0.00,"260,600.00"
21-09-2025,10000001,ADVANCE,2329,Advance Invoice #2329,"8,000.00",0.00,"268,600.00"
21-09-2025,10000001,ADVANCE,2330,Advance Invoice #2330,500.00,0.00,"269,100.00"
22-09-2025,10000001,ADVANCE,2332,Advance Invoice #2332,"10,000.00",0.00,"279,100.00"
24-09-2025,10000001,ADVANCE,2333,Advance Invoice #2333,"5,000.00",0.00,"284,100.00"
25-09-2025,10000001,ADVANCE,2335,Advance Invoice #2335,"9,000.00",0.00,"293,100.00"
27-09-2025,10000001,ADVANCE,2336,Advance Invoice #2336,"5,300.00",0.00,"298,400.00"
28-09-2025,10000001,ADVANCE,2337,Advance Invoice #2337,"2,000.00",0.00,"300,400.00"
28-09-2025,10000001,ADVANCE,2338,Advance Invoice #2338,"5,000.00",0.00,"305,400.00"
29-09-2025,10000001,ADVANCE,2339,Advance Invoice #2339,"5,000.00",0.00,"310,400.00"
30-09-2025,10000001,ADVANCE,2340,Advance Invoice #2340,"5,000.00",0.00,"315,400.00"
30-09-2025,10000001,ADVANCE,2341,Advance Invoice #2341,"2,000.00",0.00,"317,400.00"
